order,rmse,mae,r2,aic,bic
"(0, 0, 0)",1340.4976561058727,1286.7101439542923,-11.71616738124918,121322.03918271934,121328.89127548282
"(0, 0, 1)",1339.9025585365546,1286.1240732666752,-11.70487951282725,113854.70258985381,113868.40677538076
"(0, 0, 2)",1339.529179844562,1285.559816784115,-11.697799788533022,109231.6540737228,109252.21035201324
"(0, 0, 3)",1339.1739752348851,1285.149655234797,-11.69106649883344,106255.68805473503,106283.09642578894
"(0, 1, 0)",561.2205458228132,475.0069698757884,-1.228903373716391,97674.12558483426,97680.97753450551
"(0, 1, 1)",482.98985123180535,402.3834536344651,-0.6508215460232778,96786.65868922965,96800.36258857216
"(0, 1, 2)",496.38952414941383,414.3859046835388,-0.7436902253324638,96618.85133913945,96639.40718815321
"(0, 1, 3)",530.1767922918382,445.44386360053113,-0.9891408866551852,96508.5090679698,96535.91686665482
"(0, 2, 0)",399158.8412983971,345866.9138946084,-1127496.5957544923,104655.31289272258,104662.16469928113
"(0, 2, 1)",671.0666042483047,588.1292760246098,-2.186804128874583,97672.98706786807,97686.69068098518
"(0, 2, 2)",94206.23111057798,81700.95772665011,-62802.43194664568,97329.674052496,97350.22947217166
"(0, 2, 3)",539.2469710311022,456.4676537011345,-1.0577828652674612,96617.46004704759,96644.8672732818
"(1, 0, 0)",1307.1580050551815,1237.0002228648793,-11.091503104109545,97633.87113754603,97647.57532307298
"(1, 0, 1)",1241.6486144813498,1156.0262423983224,-9.909919207269045,96782.49672653034,96803.05300482077
"(1, 0, 2)",1273.3878078482467,1195.999765839736,-10.474809721448212,96608.9953515334,96636.40372258732
"(1, 0, 3)",1284.614406077313,1209.9278762425274,-10.678032888241084,96493.3447755896,96527.60523940698
"(1, 1, 0)",488.5334934717933,407.36271300035617,-0.688934495037707,96701.95602377139,96715.6599231139
"(1, 1, 1)",484.91897773373273,404.1229358806755,-0.6640350888499731,96688.09142665626,96708.64727567002
"(1, 1, 2)",573.6688180255533,487.1433462816488,-1.3288772934635351,96455.12711432468,96482.5349130097
"(1, 1, 3)",576.1034551017797,489.5194832616563,-1.3486866414302496,96430.81322104906,96465.07296940533
"(1, 2, 0)",146220.41563225354,126759.46242637545,-151299.42434205394,100637.47895219526,100651.18256531237
"(1, 2, 1)",527.9884426222465,445.59427921685284,-0.9727540801807728,96700.65710005493,96721.21251973059
"(1, 2, 2)",523.0675705418993,440.88449730431415,-0.936153155735628,96686.86655579411,96714.27378202832
"(1, 2, 3)",653.4319742506675,569.6062076695583,-2.0215158846485646,96452.88737742946,96487.14641022222
"(2, 0, 0)",1270.577420330505,1192.4631893111555,-10.424215432494954,96693.02780299901,96713.58408128945
"(2, 0, 1)",1265.1549346314753,1185.724886454384,-10.326912496365734,96681.37885512755,96708.78722618146
"(2, 0, 2)",1303.2497193898473,1232.627067364108,-11.019306168627724,96423.20911389712,96457.4695777145
"(2, 0, 3)",1305.0847245451998,1234.7525282980519,-11.053176908469782,96398.9002595571,96440.01281613795
"(2, 1, 0)",484.3435009066075,403.60365472207405,-0.6600878504292391,96679.57322457226,96700.12907358602
"(2, 1, 1)",486.4187166561025,405.45880450251394,-0.6743439341709172,96669.73076600219,96697.13856468721
"(2, 1, 2)",572.5097394750685,486.01013697389436,-1.3194759641314935,96421.13426460788,96455.39401296416
"(2, 1, 3)",297.4063798018084,242.4921929423167,0.37407156835444044,93946.95586639881,93988.06756442634
"(2, 2, 0)",128783.53200282465,111659.30613622026,-117365.6697110577,98807.58038246683,98828.13580214248
"(2, 2, 1)",522.4006367020501,440.2485610107694,-0.9312189449051318,96678.38044714913,96705.78767338334
"(2, 2, 2)",527.7737456132628,445.3809630235088,-0.9711500364065817,96704.56040059176,96738.81943338452
"(2, 2, 3)",523.2386317418603,441.05204151268634,-0.9374197410023408,96690.62145762796,96731.73229697927
"(3, 0, 0)",1262.0227444064913,1181.7970621132067,-10.270897021129016,96673.6917634684,96701.10013452232
"(3, 0, 1)",1263.6334898260016,1183.8286583224435,-10.299685933753524,96663.40793944396,96697.66840326134
"(3, 0, 2)",1303.4629712298786,1232.8383323225344,-11.023239948658551,96388.22123954163,96429.33379612249
"(3, 0, 3)",322.6002524168051,257.1366781533261,0.2635326063048177,94102.13435299468,94150.09900233902
"(3, 1, 0)",500.08146008419317,417.68531101051957,-0.7697243470738602,96634.1249628524,96661.53276153741
"(3, 1, 1)",540.2336297185135,455.0035502834588,-1.065319993499887,96566.59548285365,96600.85523120992
"(3, 1, 2)",287.6027145698517,232.08474783349337,0.4146574709152243,95379.6135777783,95420.72527580583
"(3, 1, 3)",344.7184262043538,282.1415518724225,0.15908303418857705,94291.13127325794,94339.09492095672
"(3, 2, 0)",116068.13446789917,100644.69911297112,-95333.5072832805,97886.38370406443,97913.79093029864
"(3, 2, 1)",547.7403994711376,464.79220387751576,-1.123115721948817,96632.90523658137,96667.16426937413
"(3, 2, 2)",522.3766132224039,440.22318407944107,-0.9310413282293908,96682.4162452949,96723.52708464621
"(3, 2, 3)",548.3649044485168,465.8532178772097,-1.1279598130403046,96734.87405435606,96782.83670026592
